word,category
Salvation,Spirituality
kiss,Romance
heart,Romance
baby,Romance
hug,Romance
hold,Romance
dream,Romance
beautiful,Romance
gorgeous,Romance
heartbreak,Romance
smile,Romance
eye,Romance
finger,Romance
hand,Romance
lips,Romance
touch,Romance
feel,Romance
